acid-state 0.8.1
active 0.1.0.4
adjunctions 3.0.1
aeson 0.6.1.0
Agda 2.3.2.1
alex 3.0.5
algebra 3.1
ALUT 2.2.0.0
AMI 0.1
ansi-terminal 0.5.5
ansi-wl-pprint 0.6.4
arrows 0.4.4.1
asn1-data 0.7.1
asn1-types 0.2.0
async 2.0.1.4
attempt 0.4.0
attoparsec 0.10.4.0
attoparsec-conduit 1.0.0
attoparsec-enumerator 0.3.1
augeas 0.6.1
authenticate 1.3.2.6
authenticate-oauth 1.4.0.6
base16-bytestring 0.1.1.5
base64-bytestring 1.0.0.0
base64-conduit 1.0.0
base-unicode-symbols 0.2.2.4
basic-prelude 0.3.4.0
bifunctors 3.2.0.1
binary-communicator 1.0.2.1
binary-shared 0.8.2
bindings-DSL 1.0.16
bindings-gpgme 0.1.4
bindings-libzip 0.10.2
bindings-sane 0.0.1
bitarray 0.0.1
blaze-builder 0.3.1.0
blaze-builder-conduit 1.0.0
blaze-builder-enumerator 0.2.0.5
blaze-html 0.6.1.1
blaze-markup 0.5.1.5
blaze-svg 0.3.3.0
blaze-textual 0.2.0.8 notest
bloomfilter 1.2.6.10
bluetile 0.6
bmp 1.2.3.4
Boolean 0.1.2
boomerang 1.3.1
BoundedChan 1.0.1.0
brainfuck 0.1
byteorder 1.0.3
bytestring-lexing 0.4.0
bytestring-mmap 0.2.2
bytestring-nums 0.3.5
bytestring-progress 1.0.3
bytestring-show 0.3.5.4
bzlib 0.5.0.4
c2hs 0.16.4
cabal-debian 1.25
cabal-file-th 0.2.3
cabal-install 1.16.0.2
cairo 0.12.4
carettah 0.1.2
case-insensitive 1.0.0.1
categories 1.0.4
cautious-file 1.0.2
cereal 0.3.5.2
cereal-conduit 0.7
certificate 1.3.8
cgi 3001.1.8.3
Chart 0.16
ChasingBottoms 1.3.0.6
chell 0.3
chell-hunit 0.2
chell-quickcheck 0.2.2
cipher-aes 0.1.8
cipher-rc4 0.1.2
citeproc-hs 0.3.8 -fbibutils -f-hexpat
classy-prelude 0.5.4
classy-prelude-conduit 0.5.3
clientsession 0.9
clock 0.2.0.0
clocked 0.4.1.2
cmdargs 0.10.1
colour 2.3.3
comonad 3.0.1.1
comonads-fd 3.0.1
comonad-transformers 3.0.1
concrete-typerep 0.1.0.2
cond 0.4.0.2
conduit 1.0.5.1
ConfigFile 1.1.1
configurator 0.2.0.1
contravariant 0.4.1
control-monad-loop 0.1
convertible 1.0.11.1
cookie 0.4.0.1
cpphs 1.16
cprng-aes 0.3.4
cpu 0.1.1
criterion 0.6.2.0
Crypto 4.2.5
crypto-api 0.12.2.1
cryptocipher 0.5.0
crypto-conduit 0.5.2
cryptohash 0.8.4
cryptohash-cryptoapi 0.1.0
crypto-numbers 0.1.3
crypto-pubkey 0.1.4
crypto-pubkey-types 0.4.0
crypto-random-api 0.2.0
css-text 0.1.1
csv 0.1.2
csv-conduit 0.5.1
curl 1.3.8
darcs 2.8.4
darcs-monitor 0.4.2 broken, HaXml dependency too old
data-accessor 0.2.2.3
data-accessor-mtl 0.2.0.3
data-accessor-template 0.2.1.10
data-binary-ieee754 0.4.2.1
data-default 0.4.0
